Timepoint,Percent,Duration,Course
Post,78.37837837837837,57.88333333333333,STAT 243
Post,72.97297297297297,32.9,STAT 145
Post,75.67567567567568,31.633333333333333,STAT 243
Post,27.027027027027028,6.083333333333333,STAT 145
Post,72.97297297297297,28.816666666666666,STAT 243
Post,59.45945945945946,35.71666666666667,STAT 243
Post,NA,13.266666666666667,STAT 243
Post,35.13513513513514,2.9,STAT 243
Post,56.75675675675676,72.21666666666667,STAT 243
Post,43.24324324324324,68.28333333333333,STAT 145
Post,70.27027027027027,30.85,STAT 145
Post,72.97297297297297,33.93333333333333,STAT 243
Post,43.24324324324324,59.416666666666664,STAT 243
Post,45.94594594594595,6.133333333333334,STAT 145
Post,81.08108108108108,21.6,STAT 145
Post,75.67567567567568,34.21666666666667,STAT 145
Post,75.67567567567568,28.633333333333333,STAT 145
Post,78.37837837837837,24.316666666666666,STAT 145
Post,59.45945945945946,35.93333333333333,STAT 145
Post,67.56756756756756,26.75,STAT 145
Post,78.37837837837837,25.366666666666667,STAT 243
Post,64.86486486486487,34.18333333333333,STAT 243
Post,35.13513513513514,34.18333333333333,STAT 145
Post,NA,44.68333333333333,STAT 243
Post,67.56756756756756,17.783333333333335,STAT 243
Post,70.27027027027027,20.066666666666666,STAT 243
Post,70.27027027027027,24.65,STAT 243
Post,86.48648648648648,50.2,STAT 243
Post,70.27027027027027,25.933333333333334,STAT 145
Post,72.97297297297297,28.9,STAT 145
Post,67.56756756756756,23.483333333333334,STAT 145
Post,64.86486486486487,45.333333333333336,STAT 145
Post,72.97297297297297,21.283333333333335,STAT 145
Post,NA,0.5,STAT 145
Post,NA,21.733333333333334,STAT 145
Post,NA,68.06666666666666,STAT 243
Post,NA,5.116666666666666,STAT 145
Post,NA,24.55,STAT 145
Post,NA,3.2666666666666666,STAT 145
Post,NA,9.583333333333334,STAT 243
Pre,64.86486486486487,48,STAT 145
Pre,29.72972972972973,14.45,STAT 145
Pre,64.86486486486487,28.65,STAT 145
Pre,45.94594594594595,25.716666666666665,STAT 145
Pre,62.16216216216216,32.55,STAT 145
Pre,59.45945945945946,54.36666666666667,STAT 145
Pre,NA,15.483333333333333,STAT 145
Pre,37.83783783783784,27.8,STAT 145
Pre,70.27027027027027,41.2,STAT 145
Pre,54.054054054054056,29.033333333333335,STAT 145
Pre,59.45945945945946,34.88333333333333,STAT 145
Pre,45.94594594594595,29.983333333333334,STAT 145
Pre,59.45945945945946,38.81666666666667,STAT 145
Pre,45.94594594594595,15.2,STAT 145
Pre,NA,1.05,STAT 145
Pre,62.16216216216216,12.633333333333333,STAT 145
Pre,24.324324324324326,7.333333333333333,STAT 145
Pre,45.94594594594595,38.43333333333333,STAT 145
Pre,27.027027027027028,8,STAT 145
Pre,59.45945945945946,32.78333333333333,STAT 145
Pre,32.432432432432435,16.45,STAT 145
Pre,59.45945945945946,18.433333333333334,STAT 145
Pre,27.027027027027028,3.8333333333333335,STAT 145
Pre,NA,37.516666666666666,STAT 145
Pre,64.86486486486487,36.266666666666666,STAT 145
Pre,45.94594594594595,39.083333333333336,STAT 145
Pre,54.054054054054056,23.933333333333334,STAT 145
Pre,40.54054054054054,54.21666666666667,STAT 145
